City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Souillac,MU,74.35,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
5,Atuona,PF,80.08,overcast clouds,-9.8,-139.0333,Villa Enata
7,Kroya,ID,78.35,heavy intensity rain,-7.6331,109.2461,RUSTANTO Fam
8,Butaritari,KI,80.85,light rain,3.0707,172.7902,Isles Sunset Lodge
11,Rikitea,PF,74.05,light rain,-23.1203,-134.9692,People ThankYou
19,Cozumel,MX,82.99,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
21,Harper,LR,82.2,light rain,4.375,-7.7169,Screensaver
22,Vaini,TO,71.76,few clouds,-21.2,-175.2,Keleti Beach Resort
23,Ternate,ID,80.73,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
24,Payo,ID,73.2,heavy intensity rain,-3.7508,103.6372,Mess keban agung
25,Barcelona,ES,77.18,few clouds,41.3888,2.159,Axel Hotel Barcelona
26,Umarkot,PK,81.37,few clouds,25.3616,69.7362,Al-Qamar Boys Hostel
27,Biak,ID,76.53,overcast clouds,-0.9131,122.8766,Penginapan Kim
29,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Kloulklubed,PW,77.5,light rain,7.0419,134.2556,Storyboard Beach Resort
34,Awbari,LY,79.77,few clouds,26.5921,12.7805,فندق أوباري
36,Malakal,SS,83.05,broken clouds,9.5334,31.6605,Nile Palace Hotel
38,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
39,Sao Filipe,CV,80.56,broken clouds,14.8961,-24.4956,Hotel Xaguate
41,Waingapu,ID,81.18,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
43,Saint-Philippe,RE,74.79,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
45,Yeppoon,AU,71.38,broken clouds,-23.1333,150.7333,Villa Mar Colina
53,Victoria,HK,77.32,light rain,22.2855,114.1577,Mini Hotel Central
57,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
58,Namibe,AO,71.28,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
60,Machilipatnam,IN,80.8,overcast clouds,16.1667,81.1333,R&B Bungalow
