City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,64.02,78,65,1.01,broken clouds
1,Souillac,MU,-20.5167,57.5167,74.35,73,21,5.46,few clouds
2,Palmer,US,42.1584,-72.3287,64.72,67,83,1.99,broken clouds
3,Mosquera,CO,4.7059,-74.2302,62.69,72,75,6.91,broken clouds
4,Lebu,CL,-37.6167,-73.65,60.12,72,100,7.96,overcast clouds
5,Atuona,PF,-9.8,-139.0333,80.08,67,95,13.38,overcast clouds
6,Ranfurly,NZ,-45.1333,170.1,26.06,95,57,3.56,broken clouds
7,Kroya,ID,-7.6331,109.2461,78.35,87,94,2.8,heavy intensity rain
8,Butaritari,KI,3.0707,172.7902,80.85,78,37,9.31,light rain
9,Qaanaaq,GL,77.484,-69.3632,9.36,65,99,10.31,overcast clouds
10,Sitka,US,57.0531,-135.33,37.29,87,40,4.61,scattered clouds
11,Rikitea,PF,-23.1203,-134.9692,74.05,88,100,18.12,light rain
12,Salto,UY,-31.3833,-57.9667,89.76,46,40,5.99,scattered clouds
13,Muros,ES,42.7762,-9.0603,62.24,78,100,6.93,light rain
14,Port Alfred,ZA,-33.5906,26.891,69.26,80,67,19.95,broken clouds
15,Albany,US,42.6001,-73.9662,60.75,83,100,3.0,overcast clouds
16,Punta Arenas,CL,-53.15,-70.9167,50.11,50,0,11.5,clear sky
17,Khatanga,RU,71.9667,102.5,4.33,96,100,7.92,overcast clouds
18,Macklin,CA,52.3334,-109.9348,25.11,59,0,7.18,clear sky
19,Cozumel,MX,20.5083,-86.9458,82.99,54,20,3.0,few clouds
20,Bredasdorp,ZA,-34.5322,20.0403,64.27,68,99,11.52,overcast clouds
21,Harper,LR,4.375,-7.7169,82.2,74,67,10.65,light rain
22,Vaini,TO,-21.2,-175.2,71.76,94,20,5.75,few clouds
23,Ternate,ID,0.8,127.4,80.73,79,100,3.56,overcast clouds
24,Payo,ID,-3.7508,103.6372,73.2,98,100,3.42,heavy intensity rain
25,Barcelona,ES,41.3888,2.159,77.18,66,20,5.01,few clouds
26,Umarkot,PK,25.3616,69.7362,81.37,20,20,10.92,few clouds
27,Biak,ID,-0.9131,122.8766,76.53,78,99,1.77,overcast clouds
28,Hermanus,ZA,-34.4187,19.2345,68.9,85,95,8.97,overcast clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,73.36,79,85,9.26,overcast clouds
30,Yerbogachen,RU,61.2767,108.0108,18.88,72,98,6.93,overcast clouds
31,Dawlatabad,AF,36.4141,64.9053,55.06,54,82,4.97,broken clouds
32,Kloulklubed,PW,7.0419,134.2556,77.5,70,97,4.63,light rain
33,Bluff,NZ,-46.6,168.3333,50.02,70,87,21.5,overcast clouds
34,Awbari,LY,26.5921,12.7805,79.77,20,21,7.27,few clouds
35,Dikson,RU,73.5069,80.5464,6.73,93,100,9.91,overcast clouds
36,Malakal,SS,9.5334,31.6605,83.05,49,82,5.66,broken clouds
37,Chany,RU,55.3121,76.7647,20.97,91,59,9.55,broken clouds
38,Neiafu,TO,-18.65,-173.9833,75.88,94,40,0.0,light rain
39,Sao Filipe,CV,14.8961,-24.4956,80.56,70,83,13.22,broken clouds
40,Tuktoyaktuk,CA,69.4541,-133.0374,21.36,80,90,10.58,overcast clouds
41,Waingapu,ID,-9.6567,120.2641,81.18,83,98,4.81,overcast clouds
42,Nikolskoye,RU,59.7035,30.7861,47.88,84,50,8.05,scattered clouds
43,Saint-Philippe,RE,-21.3585,55.7679,74.79,76,28,6.76,scattered clouds
44,Norman Wells,CA,65.282,-126.8329,17.29,86,61,7.2,broken clouds
45,Yeppoon,AU,-23.1333,150.7333,71.38,79,84,22.82,broken clouds
46,Barrow,US,71.2906,-156.7887,24.82,86,90,24.16,light snow
