City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Avarua,CK,-21.2078,-159.775,73.45,73,40,6.91,light rain
1,Bredasdorp,ZA,-34.5322,20.0403,66.27,72,100,10.36,overcast clouds
2,Bluff,NZ,-46.6,168.3333,51.12,66,86,22.32,overcast clouds
3,Rikitea,PF,-23.1203,-134.9692,74.03,88,100,18.88,moderate rain
4,Albany,US,42.6001,-73.9662,56.8,95,100,1.01,overcast clouds
5,Torbay,CA,47.6666,-52.7314,45.27,95,90,12.66,mist
6,Hilo,US,19.7297,-155.09,81.28,77,20,6.91,few clouds
7,Vaini,TO,-21.2,-175.2,69.96,94,20,3.44,few clouds
8,Ushuaia,AR,-54.8,-68.3,49.66,62,0,0.0,clear sky
9,Acapulco,MX,16.8634,-99.8901,76.82,83,40,4.61,scattered clouds
10,Kodiak,US,57.79,-152.4072,43.95,92,100,28.25,light rain
11,Cape Town,ZA,-33.9258,18.4232,73.09,57,0,1.99,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,48.31,57,0,9.22,clear sky
13,Sibu,MY,2.3,111.8167,79.11,94,40,4.61,scattered clouds
14,Te Anau,NZ,-45.4167,167.7167,37.38,91,59,0.81,broken clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,59.09,81,90,1.99,light rain
16,Tilichiki,RU,60.4667,166.1,-5.84,97,18,11.16,few clouds
17,Mataura,NZ,-46.1927,168.8643,42.42,78,81,4.41,broken clouds
18,Catalina,US,32.5056,-110.9211,65.59,40,77,4.07,broken clouds
19,Hobart,AU,-42.8794,147.3294,53.46,64,100,4.0,overcast clouds
20,Inta,RU,66.0317,60.1659,11.48,81,92,8.99,overcast clouds
21,Upernavik,GL,72.7868,-56.1549,33.06,98,100,16.08,light snow
22,Bambous Virieux,MU,-20.3428,57.7575,76.21,78,40,3.44,scattered clouds
23,New Norfolk,AU,-42.7826,147.0587,53.1,58,100,8.01,overcast clouds
24,Hermanus,ZA,-34.4187,19.2345,70.9,85,100,10.31,overcast clouds
25,Yar-Sale,RU,66.8333,70.8333,2.39,88,12,6.6,few clouds
26,Nadym,RU,65.5333,72.5167,2.25,93,7,9.73,clear sky
27,Airai,TL,-8.9266,125.4092,62.22,89,93,1.28,overcast clouds
28,Butaritari,KI,3.0707,172.7902,81.27,77,16,9.06,light rain
29,Port Elizabeth,ZA,-33.918,25.5701,70.09,78,0,19.57,clear sky
30,Bethel,US,41.3712,-73.414,60.55,90,75,4.0,broken clouds
31,Tasiilaq,GL,65.6145,-37.6368,26.76,69,100,3.53,overcast clouds
32,Ribeira Grande,PT,38.5167,-28.7,68.4,94,75,12.66,broken clouds
33,Atuona,PF,-9.8,-139.0333,79.83,67,93,13.29,overcast clouds
34,Slave Lake,CA,55.2834,-114.769,22.98,74,1,4.61,clear sky
35,Meulaboh,ID,4.1363,96.1285,77.81,86,100,2.3,overcast clouds
36,Nome,US,64.5011,-165.4064,21.27,69,1,8.05,clear sky
37,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,83,75,13.8,light rain
38,Beringovskiy,RU,63.05,179.3167,6.69,92,100,15.93,light snow
39,Quelimane,MZ,-17.8786,36.8883,82.35,69,40,18.41,scattered clouds
40,Havelock,US,34.8791,-76.9013,62.55,85,40,12.66,scattered clouds
41,Jamestown,US,42.097,-79.2353,49.59,96,90,4.0,mist
42,Menongue,AO,-14.6585,17.691,80.04,46,74,6.42,broken clouds
43,Mehamn,NO,71.0357,27.8492,35.35,76,100,12.41,overcast clouds
44,Hithadhoo,MV,-0.6,73.0833,81.73,75,100,18.25,overcast clouds
45,San Quintin,MX,30.4833,-115.95,60.85,85,48,3.47,scattered clouds
46,Cairns,AU,-16.9167,145.7667,80.55,83,75,6.91,broken clouds
47,Brownfield,US,33.1812,-102.2744,51.93,47,0,19.06,clear sky
48,Aklavik,CA,68.2191,-135.0107,29.12,93,40,4.61,scattered clouds
49,Ulaangom,MN,49.9811,92.0667,33.55,77,99,1.97,overcast clouds
50,Upata,VE,8.0086,-62.3989,83.73,60,55,3.62,broken clouds
51,Rio Gallegos,AR,-51.6226,-69.2181,59.05,25,0,6.91,clear sky
52,Bengkulu,ID,-3.8004,102.2655,78.64,85,100,3.13,overcast clouds
53,Ostrovnoy,RU,68.0531,39.5131,29.8,86,67,1.03,broken clouds
54,Clyde River,CA,70.4692,-68.5914,23.23,86,75,18.41,light snow
55,Castro,BR,-24.7911,-50.0119,61.83,92,100,9.1,overcast clouds
56,Tuktoyaktuk,CA,69.4541,-133.0374,23.0,86,75,9.22,broken clouds
57,Nanhai,CN,30.1282,111.7784,63.27,69,100,9.57,light rain
58,Linhares,BR,-19.3911,-40.0722,77.7,78,96,6.93,overcast clouds
59,Mocuba,MZ,-16.8392,36.9856,86.99,48,2,13.35,clear sky
60,Darnah,LY,32.767,22.6367,67.5,86,75,28.61,broken clouds
