City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-10-28 19:13:33,-54.8,-68.3,60.42,52,75,10.92
1,Albany,US,2021-10-28 19:13:34,42.6001,-73.9662,60.8,72,0,2.53
2,Barrow,US,2021-10-28 19:13:34,71.2906,-156.7887,24.82,80,90,10.36
3,Bluff,NZ,2021-10-28 19:13:34,-46.6,168.3333,54.64,88,34,2.89
4,Kaitangata,NZ,2021-10-28 19:13:35,-46.2817,169.8464,52.09,90,61,2.8
5,Hobart,AU,2021-10-28 19:13:35,-42.8794,147.3294,48.11,94,90,5.99
6,Busselton,AU,2021-10-28 19:13:36,-33.65,115.3333,40.05,83,17,8.34
7,Kirillov,RU,2021-10-28 19:13:36,59.863,38.3813,31.93,78,100,3.65
8,Khatanga,RU,2021-10-28 19:13:36,71.9667,102.5,-2.69,97,100,8.81
9,Georgetown,MY,2021-10-28 19:13:37,5.4112,100.3354,78.73,89,40,5.75
10,Namibe,AO,2021-10-28 19:13:37,-15.1961,12.1522,67.12,72,5,10.29
11,Rikitea,PF,2021-10-28 19:13:37,-23.1203,-134.9692,75.2,81,96,13.11
12,Esperance,AU,2021-10-28 19:13:38,-33.8667,121.9,53.26,73,87,8.52
13,Faanui,PF,2021-10-28 19:13:38,-16.4833,-151.75,78.69,80,53,7.67
14,Rocha,UY,2021-10-28 19:09:01,-34.4833,-54.3333,82.67,49,0,10.54
15,Takoradi,GH,2021-10-28 19:13:39,4.8845,-1.7554,79.18,84,88,5.01
16,Oeiras,BR,2021-10-28 19:13:39,-7.0253,-42.1311,100.98,18,9,8.32
17,Port Blair,IN,2021-10-28 19:13:39,11.6667,92.75,80.94,80,52,9.51
18,Clyde River,CA,2021-10-28 19:13:40,70.4692,-68.5914,34.03,93,90,11.5
19,Bay Roberts,CA,2021-10-28 19:13:40,47.5999,-53.2648,40.33,87,100,15.01
20,Inhambane,MZ,2021-10-28 19:13:41,-23.865,35.3833,67.82,64,14,8.59
21,Adrar,MR,2021-10-28 19:13:41,20.5022,-10.0711,81.54,35,100,13.04
22,Bauchi,NG,2021-10-28 19:13:41,10.5,10.0,78.98,28,0,3.06
23,Burgeo,CA,2021-10-28 19:13:42,47.6167,-57.6152,45.73,65,100,21.34
24,Moranbah,AU,2021-10-28 19:11:06,-22.0016,148.0466,70.41,69,75,4.97
25,Hermanus,ZA,2021-10-28 19:13:42,-34.4187,19.2345,62.91,91,10,3.2
26,Hambantota,LK,2021-10-28 19:13:43,6.1241,81.1185,79.32,81,96,6.31
27,Ust-Kut,RU,2021-10-28 19:13:43,56.7938,105.7672,24.03,62,94,3.24
28,Hilo,US,2021-10-28 19:08:59,19.7297,-155.09,80.33,67,1,4.61
29,Bengkulu,ID,2021-10-28 19:13:44,-3.8004,102.2655,77.4,85,100,2.37
30,Longyearbyen,SJ,2021-10-28 19:13:44,78.2186,15.6401,15.64,79,0,6.91
31,Rio Tercero,AR,2021-10-28 19:13:45,-32.173,-64.1141,89.47,20,0,13.89
32,Kalmthout,BE,2021-10-28 19:13:45,51.3846,4.4742,55.81,80,5,8.05
33,Westport,US,2021-10-28 19:13:46,41.1415,-73.3579,60.15,69,90,7.0
34,Qaqortoq,GL,2021-10-28 19:13:46,60.7167,-46.0333,30.7,76,86,5.03
35,Mataura,NZ,2021-10-28 19:13:47,-46.1927,168.8643,50.59,92,17,2.82
36,Camopi,GF,2021-10-28 19:13:47,3.1655,-52.3158,94.68,31,100,2.93
37,Punta Arenas,CL,2021-10-28 19:11:03,-53.15,-70.9167,62.71,45,75,21.85
38,Atuona,PF,2021-10-28 19:13:47,-9.8,-139.0333,78.15,70,0,16.26
39,Northam,GB,2021-10-28 19:13:48,51.0333,-4.2167,59.4,97,100,12.12
40,Saldanha,ZA,2021-10-28 19:13:48,-33.0117,17.9442,59.74,92,0,9.4
41,Asau,RO,2021-10-28 19:13:49,46.4333,26.4,48.76,60,10,2.8
42,Saint-Augustin,CA,2021-10-28 19:13:49,51.226,-58.6502,47.23,47,0,7.31
43,San Joaquin,US,2021-10-28 19:13:50,37.9333,-121.3011,74.79,75,1,3.44
44,Cape Town,ZA,2021-10-28 19:13:50,-33.9258,18.4232,65.08,70,18,7.72
45,Matara,LK,2021-10-28 19:13:51,5.9485,80.5353,76.5,92,100,5.41
46,Saint-Francois,FR,2021-10-28 19:14:51,46.4154,3.9054,56.64,58,0,4.61
47,Hithadhoo,MV,2021-10-28 19:14:51,-0.6,73.0833,83.16,75,100,15.66
48,Jamestown,US,2021-10-28 19:11:15,42.097,-79.2353,65.01,58,1,5.99
49,Komsomolskiy,UZ,2021-10-28 19:14:52,40.4272,71.7189,50.72,57,100,4.61
50,Dikson,RU,2021-10-28 19:14:53,73.5069,80.5464,7.66,92,100,9.73
51,Tombouctou,ML,2021-10-28 19:14:53,20.0,-3.0,86.61,22,100,9.1
52,Gboko,NG,2021-10-28 19:14:54,7.3179,8.9951,78.33,75,70,3.58
53,Tasiilaq,GL,2021-10-28 19:14:54,65.6145,-37.6368,30.36,76,100,8.23
54,Shingu,JP,2021-10-28 19:14:54,33.7333,135.9833,51.66,80,0,7.85
55,Jinan,CN,2021-10-28 19:12:56,36.6683,116.9972,60.98,71,6,2.84
56,Kapaa,US,2021-10-28 19:14:55,22.0752,-159.319,80.58,97,75,4.0
57,Cherskiy,RU,2021-10-28 19:14:55,68.75,161.3,-15.03,93,74,3.87
58,Itoigawa,JP,2021-10-28 19:14:56,37.0333,137.85,51.6,73,42,0.69
59,Moussoro,TD,2021-10-28 19:14:56,13.6408,16.4901,91.65,13,5,10.45
60,North Bend,US,2021-10-28 19:14:12,43.4065,-124.2243,71.24,94,90,6.91
61,Ouallam,NE,2021-10-28 19:14:57,14.3188,2.0866,94.32,23,91,6.46
62,Bandarbeyla,SO,2021-10-28 19:14:57,9.4942,50.8122,78.01,68,0,8.86
63,Geraldton,AU,2021-10-28 19:14:58,-28.7667,114.6,48.61,81,5,10.36
64,Sept-Iles,CA,2021-10-28 19:13:25,50.2001,-66.3821,49.59,44,44,1.83
65,Castro,BR,2021-10-28 19:14:58,-24.7911,-50.0119,69.37,80,85,9.04
66,Sechura,PE,2021-10-28 19:14:59,-5.5569,-80.8222,76.89,57,26,15.86
67,Sao Filipe,CV,2021-10-28 19:14:59,14.8961,-24.4956,78.94,78,100,10.92
68,East London,ZA,2021-10-28 19:15:00,-33.0153,27.9116,67.48,92,100,12.95
69,Mahebourg,MU,2021-10-28 19:15:00,-20.4081,57.7,75.25,83,20,9.22
70,Phan Thiet,VN,2021-10-28 19:15:01,10.9333,108.1,76.19,90,75,5.01
71,Lebu,CL,2021-10-28 19:15:02,-37.6167,-73.65,58.35,77,0,15.52
72,Sokode,TG,2021-10-28 19:15:03,8.9833,1.1333,77.88,77,60,4.68
73,Isoka,ZM,2021-10-28 19:15:03,-10.1606,32.6335,71.6,53,64,5.03
74,Bredasdorp,ZA,2021-10-28 19:15:04,-34.5322,20.0403,58.28,89,67,3.44
75,Chokurdakh,RU,2021-10-28 19:15:05,70.6333,147.9167,-9.29,96,90,4.09
76,Vaini,TO,2021-10-28 19:15:06,-21.2,-175.2,75.36,83,75,8.05
77,Beian,NO,2021-10-28 19:15:07,63.6559,9.5683,53.01,93,75,5.75
78,Plettenberg Bay,ZA,2021-10-28 19:15:08,-34.0527,23.3716,69.89,66,100,3.78
79,Nikolskoye,RU,2021-10-28 19:15:08,59.7035,30.7861,46.87,87,100,8.43
80,Shar,KZ,2021-10-28 19:15:09,49.5886,81.0453,36.1,88,6,5.01
